mall_name,store_name,timestamp_hour,gender,age_range,visitors,avg_duration_seconds
Centre Saint Martial,H&M,2024-04-01 08:00:00,unknown,60+,3,251
Centre Saint Martial,H&M,2024-04-01 08:00:00,female,30-60,3,251
Centre Saint Martial,H&M,2024-04-01 08:00:00,male,0-15,3,251
Centre Saint Martial,H&M,2024-04-01 09:00:00,female,0-15,6,340
Centre Saint Martial,H&M,2024-04-01 09:00:00,female,60+,6,340
Centre Saint Martial,H&M,2024-04-01 09:00:00,male,30-60,6,340
Centre Saint Martial,H&M,2024-04-01 09:00:00,female,30-60,6,340
Centre Saint Martial,H&M,2024-04-01 09:00:00,male,15-30,6,340
Centre Saint Martial,H&M,2024-04-01 09:00:00,male,30-60,6,340
Centre Saint Martial,H&M,2024-04-01 10:00:00,unknown,0-15,6,227
Centre Saint Martial,H&M,2024-04-01 10:00:00,female,60+,6,227
Centre Saint Martial,H&M,2024-04-01 10:00:00,unknown,30-60,6,227
Centre Saint Martial,H&M,2024-04-01 10:00:00,male,30-60,6,227
Centre Saint Martial,H&M,2024-04-01 10:00:00,unknown,0-15,6,227
Centre Saint Martial,H&M,2024-04-01 10:00:00,male,0-15,6,227
Centre Saint Martial,H&M,2024-04-01 11:00:00,male,60+,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,female,60+,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,male,60+,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,male,30-60,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,female,15-30,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,male,15-30,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,female,0-15,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,female,15-30,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,unknown,15-30,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,female,15-30,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,female,30-60,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,unknown,15-30,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,unknown,30-60,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,male,60+,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,unknown,60+,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,unknown,0-15,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,male,60+,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,female,0-15,19,279
Centre Saint Martial,H&M,2024-04-01 11:00:00,female,15-30,19,279
Centre Saint Martial,H&M,2024-04-01 12:00:00,unknown,60+,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,female,15-30,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,female,60+,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,female,60+,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,female,30-60,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,male,15-30,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,unknown,30-60,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,female,60+,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,unknown,15-30,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,female,15-30,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,male,15-30,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,male,30-60,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,male,0-15,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,male,60+,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,unknown,15-30,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,unknown,0-15,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,unknown,15-30,24,241
Centre Saint Martial,H&M,2024-04-01 12:00:00,male,15-30,24,241
