mall_name,store_name,timestamp_hour,gender,age_range,visitors,avg_duration_seconds
Centre Saint Martial,H&M,2024-06-01 08:00:00,unknown,30-60,1,1263
Centre Saint Martial,H&M,2024-06-01 09:00:00,unknown,60+,6,1380
Centre Saint Martial,H&M,2024-06-01 09:00:00,unknown,0-15,6,1380
Centre Saint Martial,H&M,2024-06-01 09:00:00,female,0-15,6,1380
Centre Saint Martial,H&M,2024-06-01 09:00:00,male,15-30,6,1380
Centre Saint Martial,H&M,2024-06-01 09:00:00,unknown,30-60,6,1380
Centre Saint Martial,H&M,2024-06-01 09:00:00,male,0-15,6,1380
Centre Saint Martial,H&M,2024-06-01 10:00:00,female,30-60,6,993
Centre Saint Martial,H&M,2024-06-01 10:00:00,unknown,60+,6,993
Centre Saint Martial,H&M,2024-06-01 10:00:00,male,30-60,6,993
Centre Saint Martial,H&M,2024-06-01 10:00:00,female,15-30,6,993
Centre Saint Martial,H&M,2024-06-01 10:00:00,unknown,0-15,6,993
Centre Saint Martial,H&M,2024-06-01 10:00:00,female,30-60,6,993
Centre Saint Martial,H&M,2024-06-01 11:00:00,male,30-60,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,male,0-15,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,60+,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,female,15-30,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,female,15-30,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,female,60+,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,0-15,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,0-15,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,60+,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,female,0-15,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,female,0-15,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,male,0-15,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,60+,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,30-60,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,female,15-30,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,female,0-15,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,female,0-15,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,male,15-30,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,30-60,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,15-30,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,60+,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,unknown,15-30,23,1025
Centre Saint Martial,H&M,2024-06-01 11:00:00,female,15-30,23,1025
Centre Saint Martial,H&M,2024-06-01 12:00:00,unknown,0-15,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,female,15-30,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,male,60+,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,male,60+,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,unknown,15-30,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,female,60+,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,male,60+,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,unknown,15-30,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,unknown,60+,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,male,30-60,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,female,15-30,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,female,30-60,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,unknown,0-15,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,male,15-30,15,1169
Centre Saint Martial,H&M,2024-06-01 12:00:00,female,60+,15,1169
Centre Saint Martial,H&M,2024-06-01 13:00:00,male,30-60,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,male,0-15,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,male,0-15,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,unknown,60+,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,unknown,60+,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,female,60+,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,unknown,30-60,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,female,15-30,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,male,60+,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,unknown,0-15,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,male,0-15,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,male,60+,13,1194
Centre Saint Martial,H&M,2024-06-01 13:00:00,male,30-60,13,1194
Centre Saint Martial,H&M,2024-06-01 14:00:00,unknown,0-15,5,1549
Centre Saint Martial,H&M,2024-06-01 14:00:00,male,60+,5,1549
Centre Saint Martial,H&M,2024-06-01 14:00:00,unknown,60+,5,1549
Centre Saint Martial,H&M,2024-06-01 14:00:00,male,0-15,5,1549
Centre Saint Martial,H&M,2024-06-01 14:00:00,unknown,60+,5,1549
Centre Saint Martial,H&M,2024-06-01 15:00:00,male,30-60,7,1333
