mall_name,store_name,timestamp_hour,gender,age_range,visitors,avg_duration_seconds
Centre Saint Martial,H&M,2023-06-01 08:00:00,male,0-15,5,263
Centre Saint Martial,H&M,2023-06-01 08:00:00,unknown,0-15,5,263
Centre Saint Martial,H&M,2023-06-01 08:00:00,male,0-15,5,263
Centre Saint Martial,H&M,2023-06-01 08:00:00,female,0-15,5,263
Centre Saint Martial,H&M,2023-06-01 08:00:00,male,30-60,5,263
Centre Saint Martial,H&M,2023-06-01 09:00:00,unknown,30-60,6,162
Centre Saint Martial,H&M,2023-06-01 09:00:00,female,0-15,6,162
Centre Saint Martial,H&M,2023-06-01 09:00:00,male,30-60,6,162
Centre Saint Martial,H&M,2023-06-01 09:00:00,unknown,60+,6,162
Centre Saint Martial,H&M,2023-06-01 09:00:00,unknown,60+,6,162
Centre Saint Martial,H&M,2023-06-01 09:00:00,female,0-15,6,162
Centre Saint Martial,H&M,2023-06-01 10:00:00,female,30-60,3,364
Centre Saint Martial,H&M,2023-06-01 10:00:00,unknown,0-15,3,364
Centre Saint Martial,H&M,2023-06-01 10:00:00,unknown,0-15,3,364
Centre Saint Martial,H&M,2023-06-01 11:00:00,female,30-60,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,male,0-15,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,male,60+,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,female,0-15,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,unknown,30-60,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,female,0-15,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,female,15-30,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,female,30-60,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,female,60+,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,male,60+,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,unknown,30-60,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,male,0-15,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,unknown,15-30,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,unknown,15-30,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,female,30-60,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,unknown,0-15,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,unknown,30-60,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,male,30-60,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,male,60+,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,male,15-30,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,unknown,0-15,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,male,15-30,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,female,0-15,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,unknown,30-60,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,female,30-60,26,373
Centre Saint Martial,H&M,2023-06-01 11:00:00,male,15-30,26,373
Centre Saint Martial,H&M,2023-06-01 12:00:00,male,0-15,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,female,60+,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,female,60+,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,unknown,30-60,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,female,0-15,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,female,60+,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,male,30-60,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,unknown,0-15,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,female,0-15,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,male,60+,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,female,15-30,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,male,60+,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,male,60+,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,male,15-30,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,unknown,0-15,16,260
Centre Saint Martial,H&M,2023-06-01 12:00:00,unknown,30-60,16,260
Centre Saint Martial,H&M,2023-06-01 13:00:00,unknown,60+,17,346
Centre Saint Martial,H&M,2023-06-01 13:00:00,male,15-30,17,346
Centre Saint Martial,H&M,2023-06-01 13:00:00,male,15-30,17,346
Centre Saint Martial,H&M,2023-06-01 13:00:00,female,0-15,17,346
Centre Saint Martial,H&M,2023-06-01 13:00:00,unknown,30-60,17,346
Centre Saint Martial,H&M,2023-06-01 13:00:00,unknown,60+,17,346
